N,fx,fy,fs,n_neighbors,metric,weights,accuracy,precision,recall,f1,inference_10k_s,fit_time_s
50,43,37,350,3,euclidean,distance,71.29,70.82586171,70.85718951,70.74105823,0.5848933,0.0039823
50,43,37,350,3,euclidean,uniform,71.03,70.88202298,70.5523171,70.31937714,2.199177,0.0050781
50,43,37,350,3,manhattan,distance,72.16,71.87219093,71.77004793,71.65930078,3.2814285,0.0035387
50,43,37,350,3,manhattan,uniform,71.7,71.73852764,71.27617259,71.06568244,3.2876688,0.0053897
50,43,37,350,5,euclidean,distance,72.97,72.66613045,72.59162651,72.50915801,0.5768095,0.0031215
50,43,37,350,5,euclidean,uniform,72.68,72.46836871,72.26086901,72.10377694,0.5674771,0.0040613
50,43,37,350,5,manhattan,distance,73.85,73.7239088,73.46713881,73.37460261,3.3347949,0.0056077
50,43,37,350,5,manhattan,uniform,73.22,73.22680307,72.80544263,72.64598375,3.3188172,0.0040904
50,43,37,350,7,euclidean,distance,73.39,73.13938558,73.00486662,72.92311844,0.639548,0.0031784
50,43,37,350,7,euclidean,uniform,72.97,72.72966865,72.5403248,72.40070287,0.5865116,0.0047285
50,43,37,350,7,manhattan,distance,74.34,74.33026509,73.94035231,73.8654374,3.3664279,0.0044948
50,43,37,350,7,manhattan,uniform,73.97,74.04759312,73.53048769,73.41654232,3.3710748,0.0037266
