N,fx,fy,fs,filter_size,num_filters,lr,Accuracy %,Precision %,Recall %,F1 %,Inference 10k s,Train time s,Params,2D small_cnn 10k s (amortized),2D small_cnn 10k s (sequential),Speedup vs 2D (amortized),Speedup vs 2D (sequential),Inference 10k s std
50,43,37,350,31,64,0.001,83.46,83.27,83.27,83.24,0.0815,147,257802,0.3499,22.5443,4.29,276.45,0.0064
100,17,39,450,81,64,0.01,93.8,93.79,93.73,93.75,0.1648,111,670602,0.3723,34.1803,2.26,207.47,4e-05
200,37,23,800,91,64,0.001,96.17,96.12,96.15,96.13,0.303,175,753162,0.4273,61.3213,1.41,202.37,0.00065
500,39,41,1200,91,64,0.001,98.6,98.58,98.59,98.59,0.6812,559,753162,0.3414,152.1019,0.5,223.28,0.00064
